1. 	CONVERSE (ASIA PACIFIC) LTD	CN	100.00	100.00	n.a.	n.a.		C			n.a.	CN2-95741	n.a.	1
2. 	CONVERSE HONG KONG HOLDING COMPANY LTD	CN	100.00	100.00	n.a.	n.a.		C			n.a.	CN2-95743	n.a.	1
3. 	CONVERSE HONG KONG LTD	CN	100.00	100.00	n.a.	n.a.		C			n.a.	CN2-95744	n.a.	1
4. 	CONVERSE INC	US	100.00	100.00	n.a.	n.a.		C			n.a.	US2-42599	n.a.	1
5. 	EXETER BRANDS GROUP LLC	US	100.00	100.00	n.a.	n.a.	NEW YORK	C	4690	Non-specialised wholesale trade	n.a.	US161561877L	n.a.	1
6. 	HURLEY INTERNATIONAL LLC	US	100.00	100.00	n.a.	n.a.		C			n.a.	US2-42600	n.a.	1
7. 	HURLEY INTERNATIONAL LLC	US	100.00	100.00	n.a.	n.a.	COSTA MESA	C			n.a.	USAK-131471	n.a.	1
8. 	JUVENTUS MERCHANDISING SRL	IT	100.00	100.00	n.a.	n.a.		C			n.a.	IT2-95774	n.a.	1
9. 	LATAM SERVICOS DE LICENCIAMENTO ESPORTIVO LTDA	BR	100.00	100.00	n.a.	n.a.		C			n.a.	BR2-95735	n.a.	1
10. 	NIKE CORTEZ	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95842	n.a.	1
11. 	NIKE COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA	CR	100.00	100.00	n.a.	n.a.		C			n.a.	CR3102661863	n.a.	1
12. 	NIKE DE MEXICO SA DE CV	MX	100.00	100.00	0.25	175	AZCAPOTZALCO	C			n.a.	MXNME810515FI9	n.a.	1
13. 	NIKE FINANCE LTD	GB	100.00	100.00	n.a.	n.a.		F			n.a.	GB2-95843	n.a.	1
14. 	NIKE FLIGHT	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95844	n.a.	1
15. 	NIKE FORCE	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95845	n.a.	1
16. 	NIKE HONG KONG LTD	CN	100.00	100.00	n.a.	n.a.		C			n.a.	CN2-95748	n.a.	1
17. 	NIKE HUARACHE	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95846	n.a.	1
18. 	NIKE IHM INC	US	100.00	100.00	n.a.	n.a.	HOUSTON	C	2221	Manufacture of plastic plates, sheets, tubes and profiles	n.a.	US268651028L	n.a.	1
														
19. 	NIKE JUMP LTD	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95848	n.a.	1
20. 	NIKE LAVADOME	GB	100.00	100.00	n.a.	n.a.		C			n.a.	GB2-95849	n.a.	1
21. 	NIKE MAX LLC	US	100.00	100.00	n.a.	n.a.		C			n.a.	US2-95872	n.a.	1
